date,timestamped_pit_source_present,yyqyx_archive_present,lianban_archive_present,yyqyx_member_codes,theme_rows_ranked,yyqyx_limit_up_count,github_nonst_close_limit_up_count,count_difference_native_minus_github_nonst,count_disagreement_flag,semantic_trade_rule
2026-07-01,True,True,False,125,11,217.0,,,False,Only timestamped T-day observed themes are semantic-PIT for T+1. YYQYX provides structural membership; GitHub is canonical price fact. Counts remain source-native.
2026-07-02,True,True,False,103,10,154.0,84.0,70.0,True,Only timestamped T-day observed themes are semantic-PIT for T+1. YYQYX provides structural membership; GitHub is canonical price fact. Counts remain source-native.
2026-07-03,True,True,False,104,10,156.0,99.0,57.0,True,Only timestamped T-day observed themes are semantic-PIT for T+1. YYQYX provides structural membership; GitHub is canonical price fact. Counts remain source-native.
2026-07-06,True,True,False,45,11,71.0,64.0,7.0,True,Only timestamped T-day observed themes are semantic-PIT for T+1. YYQYX provides structural membership; GitHub is canonical price fact. Counts remain source-native.
2026-07-07,True,True,False,26,10,34.0,33.0,1.0,False,Only timestamped T-day observed themes are semantic-PIT for T+1. YYQYX provides structural membership; GitHub is canonical price fact. Counts remain source-native.
2026-07-08,True,True,False,43,10,55.0,47.0,8.0,True,Only timestamped T-day observed themes are semantic-PIT for T+1. YYQYX provides structural membership; GitHub is canonical price fact. Counts remain source-native.
2026-07-09,True,True,False,58,10,74.0,71.0,3.0,False,Only timestamped T-day observed themes are semantic-PIT for T+1. YYQYX provides structural membership; GitHub is canonical price fact. Counts remain source-native.
2026-07-10,True,True,False,67,12,90.0,90.0,0.0,False,Only timestamped T-day observed themes are semantic-PIT for T+1. YYQYX provides structural membership; GitHub is canonical price fact. Counts remain source-native.
2026-07-13,True,True,False,23,7,30.0,28.0,2.0,False,Only timestamped T-day observed themes are semantic-PIT for T+1. YYQYX provides structural membership; GitHub is canonical price fact. Counts remain source-native.
2026-07-14,True,True,False,64,11,85.0,79.0,6.0,False,Only timestamped T-day observed themes are semantic-PIT for T+1. YYQYX provides structural membership; GitHub is canonical price fact. Counts remain source-native.
2026-07-15,True,True,False,42,10,73.0,68.0,5.0,False,Only timestamped T-day observed themes are semantic-PIT for T+1. YYQYX provides structural membership; GitHub is canonical price fact. Counts remain source-native.
2026-07-16,True,True,False,35,11,46.0,40.0,6.0,True,Only timestamped T-day observed themes are semantic-PIT for T+1. YYQYX provides structural membership; GitHub is canonical price fact. Counts remain source-native.
2026-07-17,True,True,False,25,11,34.0,29.0,5.0,False,Only timestamped T-day observed themes are semantic-PIT for T+1. YYQYX provides structural membership; GitHub is canonical price fact. Counts remain source-native.
2026-07-20,True,True,False,39,11,54.0,55.0,-1.0,False,Only timestamped T-day observed themes are semantic-PIT for T+1. YYQYX provides structural membership; GitHub is canonical price fact. Counts remain source-native.
2026-07-21,True,True,False,85,9,120.0,118.0,2.0,False,Only timestamped T-day observed themes are semantic-PIT for T+1. YYQYX provides structural membership; GitHub is canonical price fact. Counts remain source-native.
2026-07-22,True,True,False,34,8,47.0,44.0,3.0,False,Only timestamped T-day observed themes are semantic-PIT for T+1. YYQYX provides structural membership; GitHub is canonical price fact. Counts remain source-native.
2026-07-23,True,True,False,79,10,128.0,112.0,16.0,True,Only timestamped T-day observed themes are semantic-PIT for T+1. YYQYX provides structural membership; GitHub is canonical price fact. Counts remain source-native.
2026-07-24,True,True,False,32,9,42.0,37.0,5.0,False,Only timestamped T-day observed themes are semantic-PIT for T+1. YYQYX provides structural membership; GitHub is canonical price fact. Counts remain source-native.
2026-07-27,True,True,False,71,10,121.0,109.0,12.0,True,Only timestamped T-day observed themes are semantic-PIT for T+1. YYQYX provides structural membership; GitHub is canonical price fact. Counts remain source-native.
2026-07-28,True,True,False,47,11,68.0,56.0,12.0,True,Only timestamped T-day observed themes are semantic-PIT for T+1. YYQYX provides structural membership; GitHub is canonical price fact. Counts remain source-native.
2026-07-29,True,True,False,48,12,86.0,76.0,10.0,True,Only timestamped T-day observed themes are semantic-PIT for T+1. YYQYX provides structural membership; GitHub is canonical price fact. Counts remain source-native.
2026-07-30,True,True,False,40,11,56.0,46.0,10.0,True,Only timestamped T-day observed themes are semantic-PIT for T+1. YYQYX provides structural membership; GitHub is canonical price fact. Counts remain source-native.
2026-07-31,True,True,False,83,10,101.0,96.0,5.0,False,Only timestamped T-day observed themes are semantic-PIT for T+1. YYQYX provides structural membership; GitHub is canonical price fact. Counts remain source-native.
