asof_date,effective_date,market_cycle_asof,top_themes_asof,core_candidates_asof,base_plan,confirmation,invalidation,uses_future_data
2026-07-01,2026-07-02,高潮,化工|机器人|半导体,001331:胜通能源,禁止后排一致追高；只研究P1核心超预期/P3首次有效分歧,核心承接与题材跟随同时成立,核心低于预期且后排先崩,False
2026-07-02,2026-07-03,退潮,医药|机器人,600641:先导基电,防守，等待P5切换或P6冰点试错,新共性独立形成梯队，且旧高位负反馈不再扩散,无独立新梯队或只是老题材反抽,False
2026-07-03,2026-07-06,修复,机器人|汽车|军工,002979:雷赛智能,P1龙头主升/P2核心弱转强/P4补涨,主线前列+核心身份前一晚已确立+盘中跟随确认,主线掉出前列或核心失去带动性,False
2026-07-06,2026-07-07,退潮,机器人|算力硬件|半导体,603211:晋拓股份,防守，等待P5切换或P6冰点试错,新共性独立形成梯队，且旧高位负反馈不再扩散,无独立新梯队或只是老题材反抽,False
2026-07-07,2026-07-08,冰点,半导体,600246:万通发展,P6冰点试错/否则空仓,仅观察率先逆势且有5/10/20分钟带动性的高地位候选,大面扩散、核心无跟随、旧周期继续杀跌,False
2026-07-08,2026-07-09,退潮,机器人|算力硬件,002841:视源股份,防守，等待P5切换或P6冰点试错,新共性独立形成梯队，且旧高位负反馈不再扩散,无独立新梯队或只是老题材反抽,False
2026-07-09,2026-07-10,分歧/震荡,算力硬件|半导体|存储芯片,000977:浪潮信息,P2/P3仅做核心确认，不做跟风,分歧后核心重新获得板块跟随,只有个股翻红、题材没有响应,False
2026-07-10,2026-07-13,升温,机器人|医药|商业航天,000887:中鼎股份,P1龙头主升/P2核心弱转强/P4补涨,主线前列+核心身份前一晚已确立+盘中跟随确认,主线掉出前列或核心失去带动性,False
2026-07-13,2026-07-14,冰点,医药|商业航天,600664:哈药股份,P6冰点试错/否则空仓,仅观察率先逆势且有5/10/20分钟带动性的高地位候选,大面扩散、核心无跟随、旧周期继续杀跌,False
2026-07-14,2026-07-15,修复,算力硬件|油气,600664:哈药股份,P1龙头主升/P2核心弱转强/P4补涨,主线前列+核心身份前一晚已确立+盘中跟随确认,主线掉出前列或核心失去带动性,False
2026-07-15,2026-07-16,升温,医药,688192:迪哲医药,P1龙头主升/P2核心弱转强/P4补涨,主线前列+核心身份前一晚已确立+盘中跟随确认,主线掉出前列或核心失去带动性,False
2026-07-16,2026-07-17,分歧/震荡,医药|游戏影视|算力硬件,002739:儒意电影,P2/P3仅做核心确认，不做跟风,分歧后核心重新获得板块跟随,只有个股翻红、题材没有响应,False
2026-07-17,2026-07-20,冰点,医药|电力电网,603567:珍宝岛,P6冰点试错/否则空仓,仅观察率先逆势且有5/10/20分钟带动性的高地位候选,大面扩散、核心无跟随、旧周期继续杀跌,False
2026-07-20,2026-07-21,冰点,电力电网|油气|资源有色,600126:杭钢股份,P6冰点试错/否则空仓,仅观察率先逆势且有5/10/20分钟带动性的高地位候选,大面扩散、核心无跟随、旧周期继续杀跌,False
2026-07-21,2026-07-22,修复,算力硬件|半导体|存储芯片,000889:中嘉博创,P1龙头主升/P2核心弱转强/P4补涨,主线前列+核心身份前一晚已确立+盘中跟随确认,主线掉出前列或核心失去带动性,False
2026-07-22,2026-07-23,退潮,算力硬件|电力电网|资源有色,000815:美利云,防守，等待P5切换或P6冰点试错,新共性独立形成梯队，且旧高位负反馈不再扩散,无独立新梯队或只是老题材反抽,False
2026-07-23,2026-07-24,修复,电力电网,002197:证通电子,P1龙头主升/P2核心弱转强/P4补涨,主线前列+核心身份前一晚已确立+盘中跟随确认,主线掉出前列或核心失去带动性,False
2026-07-24,2026-07-27,冰点,半导体|军工,601606:长城军工,P6冰点试错/否则空仓,仅观察率先逆势且有5/10/20分钟带动性的高地位候选,大面扩散、核心无跟随、旧周期继续杀跌,False
2026-07-27,2026-07-28,修复,电力电网|机器人,301234:五洲医疗,P1龙头主升/P2核心弱转强/P4补涨,主线前列+核心身份前一晚已确立+盘中跟随确认,主线掉出前列或核心失去带动性,False
2026-07-28,2026-07-29,分歧/震荡,脑机接口|半导体|算力硬件,002173:创新医疗,P2/P3仅做核心确认，不做跟风,分歧后核心重新获得板块跟随,只有个股翻红、题材没有响应,False
2026-07-29,2026-07-30,升温,消费,000428:华天酒店,P1龙头主升/P2核心弱转强/P4补涨,主线前列+核心身份前一晚已确立+盘中跟随确认,主线掉出前列或核心失去带动性,False
2026-07-30,2026-07-31,退潮,消费,002882:金龙羽,防守，等待P5切换或P6冰点试错,新共性独立形成梯队，且旧高位负反馈不再扩散,无独立新梯队或只是老题材反抽,False
