review_date,valid_from,theme,theme_state,priority,tradable_next_day,allowed_modes,reason,evidence_url
2026-07-01,2026-07-02,创新药,confirm,1,1,leader_divergence_to_consensus|leader_weak_to_strong,高标持续且医药有群体赚钱效应,https://www.cls.cn/detail/2414302
2026-07-01,2026-07-02,大金融,new_trial,2,1,low_level_switch|leader_weak_to_strong,当日批量走强但仍属轮动验证期,https://www.cls.cn/detail/2414258
2026-07-01,2026-07-02,养殖,new_trial,2,1,low_level_switch|leader_weak_to_strong,防御方向批量走强需次日验证持续性,https://www.cls.cn/detail/2414258
2026-07-02,2026-07-03,创新药,confirm,1,1,leader_divergence_to_consensus|leader_weak_to_strong,海南海药继续晋级且硬科技退潮,https://www.cls.cn/detail/2415483
2026-07-02,2026-07-03,半导体设备,watch,3,0,cash,仅个别高标且硬科技整体处于强负反馈,https://www.cls.cn/detail/2415483
2026-07-03,2026-07-06,机器人,accelerate,1,1,leader_divergence_to_consensus|supplement_after_leader_confirmed,40余股涨停或大涨形成最强群体效应但次日防高潮兑现,https://www.cls.cn/detail/2416647
2026-07-06,2026-07-07,交换机/AI服务器,repair,2,1,leader_weak_to_strong,科技仅少数细分有承接且大盘转弱,https://www.cls.cn/detail/2418140
2026-07-06,2026-07-07,机器人,retreat,9,0,cash,前一日高潮后深跌形成明显负反馈,https://www.cls.cn/detail/2418140
2026-07-07,2026-07-08,半导体硅片,new_trial,1,1,ice_point_repair|low_level_switch,极弱市场中逆势成群走强,https://www.cls.cn/detail/2419226
2026-07-07,2026-07-08,先进封装,new_trial,2,1,ice_point_repair|low_level_switch,华天科技等逆势活跃但仍需持续确认,https://www.cls.cn/detail/2419226
2026-07-08,2026-07-09,算力租赁,new_trial,1,1,ice_point_repair|low_level_switch,冰点后AI中下游率先试错,https://www.cls.cn/detail/2420504
2026-07-08,2026-07-09,AI服务器,new_trial,2,1,ice_point_repair|low_level_switch,容量核心出现业绩与修复预期,https://www.cls.cn/detail/2420504
2026-07-09,2026-07-10,半导体,accelerate,1,1,leader_divergence_to_consensus,全产业链共振且权重创高但次日防一致转分歧,https://www.cls.cn/detail/2421756
