review_date,valid_from,source_publish_at,limit_up,broken_board,seal_rate,market_phase,strong_themes,weak_or_retreat_themes,core_ladder,earning_effect,loss_effect,next_day_plan,source_url,evidence
2026-07-01,2026-07-02,2026-07-01 17:20,153,74,0.67,"强势轮动/科技分歧","大金融|养殖|医药|教育","算力硬件|通信设备|元器件|消费电子","市场高标:浙江东日/多氟多3板;医药辨识:海南海药7天5板;金融代表:华安证券/天风证券;养殖代表:新希望/傲农生物","4300+上涨且传统方向批量涨停","科技权重明显回落，兴业科技/返利科技等高位负反馈","7/2只做昨日强题材中仍有板块跟随且核心超预期者；科技旧核心未止跌前不做修复","https://www.cls.cn/detail/2414302","A-同日收盘原创"
2026-07-02,2026-07-03,2026-07-02 17:52,93,40,0.70,"强分歧/硬科技退潮","贵金属|创新药|机器人局部","半导体|算力硬件|AI上游高位","医药高标:海南海药8天6板;市场梯队:先导基电/恒尚节能3板;硬科技负锚:北方华创/兆易创新/长电科技跌停","防御及低位题材尚有赚钱效应","科创50-7.7%，硬科技核心批量跌停","7/3优先观察低位新题材能否形成群体联动；硬科技只观察不抢反弹","https://www.cls.cn/detail/2415483","A-同日收盘原创"
2026-07-03,2026-07-06,2026-07-03 17:43,108,52,0.68,"修复但快速轮动","机器人|贵金属|军工|电网设备","半导体材料|光刻机|部分AI硬件","市场高标:恒尚节能4板;机器人连板:埃斯顿4天3板/日盈电子2板;容量辨识:绿的谐波/三花智控/拓普集团","机器人40+涨停或大涨，形成当日最强群体效应","AI硬件冲高仍有抛压，旧科技核心未确认反转","7/6机器人只有核心继续带队且板块不出现大面积负反馈才可延续；高潮次日禁止无条件接力","https://www.cls.cn/detail/2416647","A-同日收盘原创"
2026-07-06,2026-07-07,2026-07-06 17:55,64,41,0.61,"分歧转弱","医药|煤炭/防御|液冷/交换机局部","机器人|PCB高位|AI上游材料","市场高标:恒尚节能5板;科技局部:星网锐捷5天4板;机器人为负反馈方向","防御型板块和科技少数细分有承接","机器人高潮后深跌，玻璃基板/高位材料连续跌停","7/7降低总体风险；只观察逆势形成板块联动的低位方向，机器人不得做普通反抽","https://www.cls.cn/detail/2418140","A-同日收盘原创"
2026-07-07,2026-07-08,2026-07-07 17:28,33,23,0.59,"冰点/主跌","半导体设备|硅片|先进封装局部逆势","有色|创新药|高位题材","高标:恒尚节能6板/宜宾纸业5板;半导体逆势:有研硅/TCL中环/华天科技;负锚:江钨装备3跌停/杭电股份2跌停","仅少数半导体分支逆势抱团","近4800下跌，高位亏钱效应持续","7/8以防守和观察为主；若半导体逆势核心不能扩散成板块，不把单点强势定义为新主升","https://www.cls.cn/detail/2419286","A-同日收盘原创"
2026-07-08,2026-07-09,2026-07-08 17:34,47,14,0.77,"冰点后的局部试错","算力租赁|AI服务器|油气设服|旅游","机器人|锂电池|能源金属","高标:恒尚节能7板;算力服务代表:网宿科技/云赛智联/数据港;AI服务器代表:浪潮信息","封板率回升，AI中下游出现资金试错","3700+下跌，机器人/锂电仍有大面积负反馈","7/9若科技出现量价共振和容量核心主动走强，可从观察升为修复；否则继续轻仓/空仓","https://www.cls.cn/detail/2420504","A-同日收盘原创"
2026-07-09,2026-07-10,2026-07-09 17:30,75,17,0.82,"硬科技强修复/一致加速","半导体设备|材料|先进封装|算力硬件","前期退潮题材仍弱","高标:恒尚节能8板;半导体容量:中芯国际/华虹宏力;链条核心:兆易创新/长电科技/通富微电/华天科技;硬件辨识:光迅科技/东山精密","科创50+8.41%，半导体全产业链共振","近2900仍下跌，说明指数/权重强于普遍赚钱效应","7/10不因7/9大涨直接追高潮；只做核心换手后超预期，若核心高开低走则按分歧/退潮处理","https://www.cls.cn/detail/2421756","A-同日收盘原创"
2026-07-10,2026-07-13,2026-07-10 17:43,92,91,0.50,"高潮次日强分歧/短线冰点","创新药|机器人局部|AI应用局部","半导体|算力硬件","AI应用辨识:欢瑞世纪7天4板;机器人:晋拓股份;医药:立方制药;硬科技负锚:兆易创新/中际旭创等放量重挫","低位医药/机器人/应用有局部承接","炸板率约50%，热门硬科技大面积退潮","7/13总仓位低；优先看防御/低位切换是否真正形成持续梯队，不做硬科技普通反抽","https://www.cls.cn/detail/2423004","A-同日收盘原创"
2026-07-13,2026-07-14,2026-07-13 17:32,29,14,0.67,"恐慌/冰点","油气设服|中药|银行|煤炭","存储|算力硬件|PCB|影视","市场高标:恒尚节能10天9板;医药梯队:立方制药3板/哈药股份2板;防御代表:九丰能源2板;负锚:兆易创新/京东方A/生益科技跌停","红利/资源/中药获得避险资金","2200+跌超5%，170+跌停，科技旧核心批量补跌","7/14只允许冰点修复模式：先看指数/广度修复，再找率先形成群体效应的新题材核心","https://www.cls.cn/detail/2424673","A-同日收盘原创"
2026-07-14,2026-07-15,2026-07-14 17:28,81,21,0.79,"冰点修复/快速轮动","PCB|有色|油气设服|CPO|中报业绩","游戏|影视|EDA|AI应用","市场高标:恒尚节能11天10板;医药:哈药股份3板;PCB为批量涨停主线候选","4200+上涨，资源与中报业绩方向群体修复","连板晋级率仅一成，说明接力并未全面恢复","7/15验证PCB/资源是否有次日持续及核心溢价；若一日游则降级为轮动而非主线","https://www.cls.cn/detail/2425998","A-同日收盘原创"
