canonical_group,chain_structure,what_to_watch,catalyst_types,negative_signals,structural_source_url,usage_boundary
半导体,"EDA/IP/设计 -> 晶圆制造；设备/材料为制造支撑 -> 封装测试 -> 芯片成品/终端","设备与材料扩散、晶圆厂资本开支、存储价格、先进封装、国产替代、容量核心成交","IPO/扩产/涨价/业绩/政策/新品","核心放量跌停、全链补跌、扩产不及预期、价格下行",https://www.luan.gov.cn/group1/M00/05/72/wKgSGWE--UaAArvSACeJKLzJNlE373.pdf,"只定义产业结构；历史个股归属必须来自当日资料"
AI硬件电子,"AI芯片/存储 -> PCB/高速互联/CPO/交换机 -> 服务器 -> 数据中心","服务器与光模块订单、PCB景气、算力资本开支、容量核心同步性","业绩/订单/新品/海外映射/资本开支","核心高开低走、链条不同步、订单预期下修",https://www.cls.cn/detail/2421756,"结构参考；不以今日概念成分倒灌历史"
算力服务,"服务器/数据中心基础设施 -> 算力资源 -> 租赁/调度/云服务 -> 应用客户","机柜上架、订单、利用率、算电协同、容量核心","订单/政策/数据中心需求/电力供给","利用率下降、价格战、融资压力、核心负反馈",https://www.cls.cn/detail/2430779,"历史可交易股票仅限当日公开资料点名"
AI应用,"基础模型/工具 -> 行业软件/营销/教育/内容 -> 用户与商业化","DAU/付费/产品发布/渠道扩散/应用端20cm赚钱效应","新品/商业化/政策/流量数据/海外映射","产品不及预期、无商业化、仅情绪脉冲",https://www.cls.cn/detail/2442703,"应用题材必须有当日群体证据，不用后验热度"
端侧AI,"芯片/模组 -> 手机/PC/IoT硬件 -> 端侧模型与软件 -> 场景","终端新品、SoC/存储需求、整机销量、应用适配","新品发布/供应链订单/渗透率","新品销量不及预期、硬件链负反馈",https://www.cls.cn/detail/2428544,"仅作结构框架"
机器人具身智能,"AI/VLA/VLM与训练数据 -> 传感器/视觉 -> 电机/减速器/丝杠/执行器 -> 控制器 -> 本体 -> 工业/服务/特种场景","本体量产、零部件订单、真实场景部署、板块容量核心与弹性核心共振","政策/实训场景/量产/订单/新品/海外映射","本体放量不及预期、核心零部件补跌、高潮后板块批量负反馈",https://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/art_f291ccd3da4c47ce95741de63cc088e6.html,"官方结构用于理解产业传导；历史股票角色仍按当日来源"
电力电网,"发电侧 -> 输电/变电 -> 配电 -> 用电侧；电网设备贯穿一次/二次设备，数据中心是新增高耗电场景之一","电网负荷、招标、特高压/配网投资、发电利用小时、龙头梯队","电网招标/极端天气负荷/电价政策/数据中心需求","龙头断板后批量跌停、招标低于预期、负荷回落",https://www.cls.cn/detail/2435218,"日内/历史个股只能用点时证据"
脑机接口,"电极/传感元件 -> 脑机芯片 -> 信号采集/编解码算法 -> 整机 -> 医疗康养/工业/消费应用","临床/注册、芯片电极突破、商业化案例、政策标准、群体扩散","政策/临床/注册/海外商业化/产品发布", "临床失败、监管不确定、仅单股异动无板块跟随",https://www.miit.gov.cn/jgsj/kjs/wjfb/art/2025/art_438e059801414869abc50abdb06eeac6.html,"结构来自官方产业意见；历史成员不静态倒灌"
医药生物,"研发靶点/药物发现 -> 临床 -> CRO/CDMO/原料/制造 -> 注册 -> 商业化；中药与医疗器械另有子链","临床数据、BD授权、审批、集采、业绩、核心梯队持续性","临床/授权/审批/政策/业绩","临床失败、集采压力、核心补跌、题材无梯队",https://www.cls.cn/detail/2427336,"交易标签以当日公开资料为准"
资源品,"勘探/采矿 -> 冶炼 -> 加工材料 -> 制造应用","期货现货价格、供给扰动、库存、资源龙头趋势","涨价/供给约束/地缘/政策","商品价格反转、库存累积、周期核心破位",https://www.cls.cn/detail/2434004,"有色/贵金属历史归属按当日资料"
能源资源,"油气/煤炭资源 -> 开采服务 -> 运输 -> 炼化/发电/工业用户","国际油价煤价、供需、地缘、油服订单、红利属性","地缘/涨价/供给/高股息","商品价格回落、地缘缓和、核心负反馈",https://www.cls.cn/detail/2431452,"仅结构框架"
农业养殖,"饲料/种源 -> 养殖 -> 屠宰加工 -> 食品渠道","猪鸡价格、能繁母猪/产能、饲料成本、去产能","价格/供给/政策/疫病","价格回落、产能恢复超预期、成本上升",https://www.cls.cn/detail/2414302,"不维护后验个股成分"
金融,"券商/银行/保险 -> 融资交易/财富管理/资本市场服务","成交额、两融、政策、券商板块联动","资本市场政策/成交放大/并购","缩量、政策预期落空、冲高回落",https://www.cls.cn/detail/2414302,"不把单日证券拉升自动定义成主线"
消费服务,"品牌/产品或景区酒店供给 -> 渠道/平台 -> 终端消费","政策、节假日、同店/客流、消费数据、低位梯队","促消费政策/节假日/业绩/新品","客流销售低于预期、板块无持续性",https://www.cls.cn/detail/2440260,"用于消费/旅游题材结构理解"
科技综合,"跨半导体/AI硬件/软件的临时总括标签","必须在交易前下钻到更具体子链；不能直接以科技综合作为个股入场理由","政策/产业/订单/业绩","子链分化、核心批量负反馈",https://www.cls.cn/detail/2423004,"只用于退潮描述；原则上不直接产生交易"
